"","Motu","Exposure","Number_transects_side","breeding_density_ha_side","breeding_biomass_kgha_side","breeding_density_ha_side_w_Iti","breeding_biomass_kgha_side_w_Iti"
"1","Aie","Exposed",3,1346.23192775409,279.207078556969,1346.23192775409,279.207078556969
"2","Aie","Protected",3,1189.12634078441,378.023965095741,1189.12634078441,378.023965095741
"3","Reiono","Exposed",9,32.222716331731,25.9796175592402,32.222716331731,25.9796175592402
"4","Reiono","Protected",9,110.073565176195,84.575339492168,110.073565176195,84.575339492168
"5","Rimatuu","Exposed",11,29.6772951787677,4.39392261291442,1032.7763,208.671223
"6","Rimatuu","Protected",19,23.7726154204194,3.90203381459957,23.7726154204194,3.90203381459957
