Motu,Exposure,Rats,Latitude,Longitude,seabird_bioimass,mean_n15,se_n15
Aie,Exposed,none,-17.007477,-149.536035,263.08,9.606667,0.3568535
Aie,Protected,none,-17.009091,-149.535525,464.58,10.746667,0.923734
Reiono,Exposed,eradicated 2018,-17.044943,-149.544055,26.78,11.596667,0.4875087
Reiono,Protected,eradicated 2018,-17.046285,-149.547934,87.31333333,14.063333,0.4971928
Rimatuu,Exposed,eradicated 2022,-17.032388,-149.554936,4.32,15.476667,0.4809239
Rimatuu,Protected,eradicated 2022,-17.028655,-149.561576,3.969473684,7.537857,0.2731205
Iti,South,none,-17.030135,-149.550483,196.62,,
